month,cs.AI,cs.CL,cs.CV,sum_of_categories,union
2020-01,352,293,781,1426,1341
2020-02,446,362,954,1762,1660
2020-03,403,358,1400,2161,2044
2020-04,439,889,1342,2670,2485
2020-05,495,853,1051,2399,2224
2020-06,567,491,1366,2424,2289
2020-07,523,405,1670,2598,2469
2020-08,495,384,1327,2206,2077
2020-09,775,575,1144,2494,2209
2020-10,1103,1309,1381,3793,3280
2020-11,861,596,1424,2881,2561
2020-12,959,610,1500,3069,2695
2021-01,734,483,1026,2243,1961
2021-02,988,435,933,2356,2064
2021-03,1012,539,1874,3425,3013
2021-04,1027,945,1642,3614,3129
2021-05,975,683,1335,2993,2619
2021-06,1301,903,1616,3820,3290
2021-07,1020,462,1371,2853,2487
2021-08,895,519,1462,2876,2508
2021-09,1129,1130,1289,3548,3020
2021-10,1320,872,1610,3802,3259
2021-11,1039,489,1485,3013,2616
2021-12,1083,623,1557,3263,2778
2022-01,907,471,1146,2524,2178
2022-02,1105,472,1163,2740,2369
2022-03,1268,882,2269,4419,3782
2022-04,1094,887,1583,3564,3046
2022-05,1432,1009,1476,3917,3274
2022-06,1362,568,1611,3541,3026
2022-07,1182,442,1979,3603,3103
2022-08,944,445,1452,2841,2489
2022-09,1205,626,1534,3365,2899
2022-10,1730,1427,1977,5134,4296
2022-11,1425,896,1995,4316,3646
2022-12,1153,846,1507,3506,2949
2023-01,1055,520,1124,2699,2275
2023-02,1462,715,1323,3500,2943
2023-03,1635,747,2773,5155,4391
2023-04,1352,729,1972,4053,3397
2023-05,2382,2372,2174,6928,5549
2023-06,1906,1231,1915,5052,4173
2023-07,1644,895,1918,4457,3695
2023-08,1809,884,2286,4979,4150
2023-09,1864,1096,2096,5056,4128
2023-10,2522,1966,2044,6532,5214
2023-11,2140,1445,2392,5977,4825
2023-12,2085,1002,2505,5592,4604
2024-01,1958,1204,1793,4955,3979
2024-02,2756,2112,1846,6714,5280
2024-03,2577,1698,3163,7438,6016
2024-04,2417,1583,2576,6576,5246
2024-05,2811,1618,2461,6890,5522
2024-06,3252,2454,2510,8216,6388
2024-07,2692,1620,2855,7167,5757
2024-08,2385,1295,2254,5934,4771
2024-09,2650,1502,2556,6708,5352
2024-10,3815,2631,2771,9217,7174
2024-11,2653,1307,2683,6643,5261
2024-12,3076,1665,3116,7857,6274
2025-01,2484,1312,2052,5848,4644
2025-02,3763,2476,2232,8471,6584
2025-03,3408,1879,3910,9197,7385
2025-04,3031,1606,2564,7201,5797
2025-05,4807,2954,3290,11051,8741
2025-06,3951,2324,3048,9323,7398
2025-07,3476,1640,2863,7979,6429
2025-08,3827,1830,2994,8651,7026
2025-09,4262,2234,2980,9476,7531
2025-10,4844,2591,2887,10322,8173
2025-11,3923,1582,3248,8753,7109
2025-12,3376,1330,2914,7620,6214
2026-01,4207,2237,2444,8888,7156
2026-02,4450,1994,2670,9114,7440
2026-03,5034,2109,4061,11204,9158
2026-04,5033,2514,3296,10843,8751
2026-05,7014,3049,3965,14028,11452
2026-06,5481,2509,3324,11314,9353
2026-07,4305,1679,2956,8940,7436
