model_name,model_version,parameters,architecture,training_data,training_compute,context_length,organization,license,model_type
Llama 2,,,Transformer,"Pretrained on an unspecified corpus (initialized from pretrained chat model checkpoints), then supervised fine-tuned (SFT) on human-written and model-generated SFT data, and further aligned using Reinforcement Learning with Human Feedback (RLHF) with over 1 million human preference comparisons (Meta reward modeling data).","Custom training libraries, Meta’s Research SuperCluster, and production clusters for pretraining. Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB (TDP of 350-400W).",4096 tokens,Meta AI,Acceptable Use Policy and Licensing Agreement for Llama 2,chat
Llama 2-Chat,,7B,,,,,AI,,Chat
Llama 2-Chat,,13B,,,,,AI,,Chat
Llama 2-Chat,,70B,,,,,AI,,Chat
Llama 2,,7B,,,,,Meta AI,,chat
Llama 2,,34B,,,,,Meta AI,,chat
Llama 2,,70B,,,,,Meta AI,,chat
Llama 2,SFT-v2,,Transformer,"Early version, before safety RLHF. Implies Supervised Fine-Tuning (SFT).",,,Meta AI,,chat
Llama 2,RLHF-V5 with PPO,,Transformer,"Improved with safety RLHF (Reinforcement Learning from Human Feedback) using PPO (Proximal Policy Optimization). Training involved increasing proportion of safety data, with a sufficiently large amount of helpfulness training data.",,,Meta AI,,chat
Llama 2,,13B,,,,,AI,,base
GPT-4,,,,,,,OpenAI,,
MPT-7B,,7B,,,,,MosaicML NLP Team,commercially usable,
Gopher,,,,,,,AI,,
RoBERTa,,,BERT,,,,AI,,
Falcon LLM,,,,RefinedWeb dataset (web data only),,,AI,,
Stanford Alpaca,,,LLaMA,,,,Stanford,,instruction-following
Galactica,,,,for science,,,AI,,
Llama,,,,,,,AI,,foundation
Llama 1,,,,,,4096 tokens (fine-tuned max length),Meta AI,,
Llama 2,2.0,70B,,,,,AI,,chat
Llama 2,2.0,13B,,,,,AI,,chat
ChatGPT,,,,,,,AI,,chat
Vicuna,1.1,13B,,,,,AI,,
PaLM,,,,,,,AI,,chat
Llama 2-Chat,,,,Fine-tuned with varying percentages of safety data (0% to 100%),,,AI,,chat
